Designator,Mid X,Mid Y,Rotation,Layer
C1,166.224,-81.169966,270.0,top
C10,168.725,-119.125,180.0,top
C2,167.948,-81.169966,270.0,top
C3,169.648,-81.169966,270.0,top
C4,166.924,-83.769966,0.0,top
C5,166.224,-86.305,90.0,top
C6,168.024,-86.305,90.0,top
C7,166.4,-90.225,270.0,top
C8,163.624,-91.769966,0.0,top
C9,124.1,-92.825,0.0,top
R1,163.424,-80.269966,0.0,top
R2,137.3,-92.725,90.0,top
R3,139.1,-92.75,270.0,top
R4,140.8,-119.125,0.0,top
R5,165.4,-119.125,0.0,top
U1,163.6,-85.955,0.0,top
U2,124.4,-89.925,180.0,top
U3,148.49,-106.145,180.0,top
